shipment_id,ship_date,carrier,origin,destination,expected_delivery,actual_delivery,delay_days,delay_reason,otif,cost_impact_gbp
SHP-1086,15-01-2024,Kuehne+Nagel,Rotterdam,Leeds RDC,16-01-2024,16-01-2024,0,On Time,1,0
SHP-1087,15-01-2024,Wincanton,Liverpool,Birmingham NDC,16-01-2024,17-01-2024,1,Documentation Error,1,324.89
SHP-1088,15-01-2024,Kuehne+Nagel,Southampton,Doncaster DC,18-01-2024,18-01-2024,0.2,On Time,1,41.4
SHP-1089,15-01-2024,CEVA Logistics,Rotterdam,Doncaster DC,20-01-2024,20-01-2024,0,On Time,1,0
SHP-1090,15-01-2024,Kuehne+Nagel,Hamburg,Doncaster DC,18-01-2024,18-01-2024,0.4,On Time,1,101.91
SHP-1091,16-01-2024,XPO Logistics,Hamburg,Doncaster DC,20-01-2024,20-01-2024,0,On Time,1,0
SHP-1092,16-01-2024,Kuehne+Nagel,Rotterdam,Manchester DC,18-01-2024,18-01-2024,0,On Time,1,0
SHP-1093,16-01-2024,Kuehne+Nagel,Felixstowe,Leeds RDC,17-01-2024,17-01-2024,0.4,On Time,1,53.99
SHP-1094,16-01-2024,XPO Logistics,Rotterdam,Doncaster DC,18-01-2024,18-01-2024,0,On Time,1,0
SHP-1095,16-01-2024,XPO Logistics,Felixstowe,Manchester DC,18-01-2024,18-01-2024,0,On Time,1,0
SHP-1096,16-01-2024,Kuehne+Nagel,Felixstowe,Manchester DC,20-01-2024,20-01-2024,0,On Time,1,0
SHP-1097,16-01-2024,CEVA Logistics,Hamburg,Birmingham NDC,19-01-2024,21-01-2024,2.3,Vehicle Breakdown,0,543.68
SHP-1098,17-01-2024,DHL Supply Chain,Rotterdam,Doncaster DC,21-01-2024,21-01-2024,0,On Time,1,0
SHP-1099,17-01-2024,XPO Logistics,Southampton,Manchester DC,20-01-2024,20-01-2024,0.9,Documentation Error,1,396.86
SHP-1100,17-01-2024,DHL Supply Chain,Rotterdam,Birmingham NDC,19-01-2024,19-01-2024,0,On Time,1,0
SHP-1101,17-01-2024,XPO Logistics,Southampton,Birmingham NDC,18-01-2024,18-01-2024,0,On Time,1,0
SHP-1102,17-01-2024,DHL Supply Chain,Felixstowe,Leeds RDC,22-01-2024,25-01-2024,3,Carrier Delay,0,361.95
SHP-1103,17-01-2024,Kuehne+Nagel,Liverpool,Birmingham NDC,22-01-2024,22-01-2024,0.1,On Time,1,36.53
SHP-1104,18-01-2024,CEVA Logistics,Felixstowe,Manchester DC,21-01-2024,22-01-2024,1.5,Customs Hold,0,287.06
SHP-1105,18-01-2024,Wincanton,Rotterdam,Leeds RDC,21-01-2024,21-01-2024,0.9,Port Congestion,1,386.74
SHP-1106,18-01-2024,CEVA Logistics,Southampton,Manchester DC,21-01-2024,23-01-2024,2.3,Documentation Error,0,919.89
SHP-1107,18-01-2024,Kuehne+Nagel,Southampton,Birmingham NDC,22-01-2024,24-01-2024,2.9,Customs Hold,0,1301.44
SHP-1108,18-01-2024,DHL Supply Chain,Rotterdam,Birmingham NDC,23-01-2024,24-01-2024,1,Carrier Delay,1,139.12
SHP-1109,18-01-2024,CEVA Logistics,Felixstowe,Birmingham NDC,21-01-2024,21-01-2024,0,On Time,1,0
SHP-1110,18-01-2024,XPO Logistics,Southampton,Birmingham NDC,23-01-2024,23-01-2024,0,On Time,1,0
SHP-1111,18-01-2024,XPO Logistics,Rotterdam,Doncaster DC,20-01-2024,20-01-2024,0.7,Documentation Error,1,239.44
SHP-1112,18-01-2024,Wincanton,Felixstowe,Manchester DC,22-01-2024,23-01-2024,1.8,Carrier Delay,0,438.07
SHP-1113,19-01-2024,XPO Logistics,Southampton,Doncaster DC,23-01-2024,23-01-2024,0.7,Customs Hold,1,310.19
SHP-1114,19-01-2024,Wincanton,Southampton,Manchester DC,22-01-2024,22-01-2024,0,On Time,1,0
SHP-1115,19-01-2024,CEVA Logistics,Rotterdam,Doncaster DC,21-01-2024,21-01-2024,0.2,On Time,1,74.88
SHP-1116,19-01-2024,XPO Logistics,Hamburg,Manchester DC,23-01-2024,24-01-2024,1.6,Port Congestion,0,762.66
SHP-1117,19-01-2024,Kuehne+Nagel,Rotterdam,Manchester DC,24-01-2024,24-01-2024,0.5,On Time,1,181.92
SHP-1118,19-01-2024,Kuehne+Nagel,Southampton,Leeds RDC,23-01-2024,24-01-2024,1,Vehicle Breakdown,1,433.83
SHP-1119,19-01-2024,DHL Supply Chain,Southampton,Leeds RDC,24-01-2024,25-01-2024,1.3,Port Congestion,0,340.43
SHP-1120,19-01-2024,Kuehne+Nagel,Rotterdam,Doncaster DC,23-01-2024,23-01-2024,0.2,On Time,1,75.93
SHP-1121,19-01-2024,DHL Supply Chain,Felixstowe,Doncaster DC,21-01-2024,21-01-2024,0,On Time,1,0
SHP-1122,20-01-2024,DHL Supply Chain,Hamburg,Manchester DC,23-01-2024,24-01-2024,1.3,Weather Disruption,0,428.52
SHP-1123,20-01-2024,XPO Logistics,Rotterdam,Manchester DC,22-01-2024,22-01-2024,0.9,Documentation Error,1,127.26
SHP-1124,20-01-2024,CEVA Logistics,Liverpool,Leeds RDC,24-01-2024,24-01-2024,0.6,Documentation Error,1,168.74
SHP-1125,20-01-2024,XPO Logistics,Rotterdam,Doncaster DC,22-01-2024,23-01-2024,1.9,Carrier Delay,0,543.58
SHP-1126,21-01-2024,CEVA Logistics,Rotterdam,Leeds RDC,26-01-2024,26-01-2024,0,On Time,1,0
SHP-1127,21-01-2024,Kuehne+Nagel,Hamburg,Birmingham NDC,26-01-2024,27-01-2024,1.7,Customs Hold,0,392.58
SHP-1128,22-01-2024,Wincanton,Hamburg,Manchester DC,25-01-2024,25-01-2024,0,On Time,1,0
SHP-1129,22-01-2024,XPO Logistics,Felixstowe,Birmingham NDC,25-01-2024,27-01-2024,2.3,Driver Shortage,0,938.87
SHP-1130,22-01-2024,CEVA Logistics,Felixstowe,Doncaster DC,23-01-2024,23-01-2024,0.8,Driver Shortage,1,271.41
SHP-1131,22-01-2024,Kuehne+Nagel,Hamburg,Leeds RDC,24-01-2024,24-01-2024,0,On Time,1,0
SHP-1132,23-01-2024,Wincanton,Rotterdam,Birmingham NDC,27-01-2024,27-01-2024,0.5,On Time,1,140.25
SHP-1133,23-01-2024,XPO Logistics,Hamburg,Doncaster DC,26-01-2024,26-01-2024,0.6,Carrier Delay,1,191.98
SHP-1134,23-01-2024,Kuehne+Nagel,Rotterdam,Leeds RDC,27-01-2024,29-01-2024,2.1,Carrier Delay,0,256.2
SHP-1135,23-01-2024,Kuehne+Nagel,Hamburg,Manchester DC,28-01-2024,28-01-2024,0.7,Port Congestion,1,156.27
SHP-1136,23-01-2024,Wincanton,Southampton,Doncaster DC,24-01-2024,25-01-2024,1.8,Documentation Error,0,753.94
SHP-1137,24-01-2024,Kuehne+Nagel,Rotterdam,Birmingham NDC,28-01-2024,28-01-2024,0.1,On Time,1,37.35
SHP-1138,24-01-2024,CEVA Logistics,Liverpool,Manchester DC,26-01-2024,27-01-2024,1.9,Documentation Error,0,311.54
SHP-1139,24-01-2024,DHL Supply Chain,Hamburg,Doncaster DC,28-01-2024,28-01-2024,0.9,Weather Disruption,1,271.87
SHP-1140,24-01-2024,Kuehne+Nagel,Hamburg,Leeds RDC,25-01-2024,26-01-2024,1.4,Weather Disruption,0,603.44
SHP-1141,24-01-2024,DHL Supply Chain,Rotterdam,Birmingham NDC,29-01-2024,29-01-2024,0,On Time,1,0
SHP-1142,24-01-2024,Wincanton,Liverpool,Birmingham NDC,27-01-2024,27-01-2024,0.7,Port Congestion,1,324.96
SHP-1143,25-01-2024,XPO Logistics,Southampton,Manchester DC,30-01-2024,30-01-2024,0.5,On Time,1,209.03
SHP-1144,25-01-2024,Kuehne+Nagel,Rotterdam,Leeds RDC,30-01-2024,31-01-2024,1.2,Weather Disruption,0,574.74
SHP-1145,25-01-2024,XPO Logistics,Rotterdam,Manchester DC,30-01-2024,30-01-2024,0,On Time,1,0
SHP-1146,25-01-2024,DHL Supply Chain,Rotterdam,Doncaster DC,27-01-2024,28-01-2024,1.4,Carrier Delay,0,591.98
SHP-1147,26-01-2024,Wincanton,Hamburg,Doncaster DC,27-01-2024,27-01-2024,0.9,Port Congestion,1,368.98
SHP-1148,26-01-2024,XPO Logistics,Southampton,Leeds RDC,29-01-2024,31-01-2024,2.3,Vehicle Breakdown,0,416.07
SHP-1149,26-01-2024,CEVA Logistics,Rotterdam,Leeds RDC,30-01-2024,30-01-2024,0,On Time,1,0
SHP-1150,26-01-2024,Wincanton,Liverpool,Manchester DC,28-01-2024,28-01-2024,0.5,On Time,1,150.66
SHP-1151,26-01-2024,CEVA Logistics,Liverpool,Birmingham NDC,28-01-2024,28-01-2024,0.8,Customs Hold,1,155.98
SHP-1152,26-01-2024,Kuehne+Nagel,Felixstowe,Doncaster DC,28-01-2024,28-01-2024,0,On Time,1,0
SHP-1153,26-01-2024,Kuehne+Nagel,Rotterdam,Leeds RDC,30-01-2024,30-01-2024,0,On Time,1,0
SHP-1154,26-01-2024,XPO Logistics,Felixstowe,Birmingham NDC,31-01-2024,01-02-2024,1.7,Documentation Error,0,507.78
SHP-1155,26-01-2024,DHL Supply Chain,Felixstowe,Doncaster DC,29-01-2024,30-01-2024,1.2,Documentation Error,0,233.02
SHP-1156,27-01-2024,DHL Supply Chain,Southampton,Manchester DC,31-01-2024,01-02-2024,1.8,Customs Hold,0,354.25
SHP-1157,28-01-2024,Kuehne+Nagel,Felixstowe,Manchester DC,30-01-2024,31-01-2024,1.6,Customs Hold,0,460.59
SHP-1158,28-01-2024,CEVA Logistics,Felixstowe,Doncaster DC,30-01-2024,01-02-2024,2.4,Driver Shortage,0,773.84
SHP-1159,28-01-2024,XPO Logistics,Felixstowe,Manchester DC,29-01-2024,31-01-2024,2.9,Vehicle Breakdown,0,833.14
SHP-1160,28-01-2024,DHL Supply Chain,Southampton,Doncaster DC,01-02-2024,01-02-2024,0.9,Carrier Delay,1,250.16
SHP-1161,29-01-2024,DHL Supply Chain,Felixstowe,Manchester DC,31-01-2024,02-02-2024,2.3,Vehicle Breakdown,0,950.55
SHP-1162,29-01-2024,DHL Supply Chain,Rotterdam,Doncaster DC,01-02-2024,01-02-2024,0,On Time,1,0
SHP-1163,29-01-2024,Kuehne+Nagel,Hamburg,Doncaster DC,01-02-2024,01-02-2024,0,On Time,1,0
SHP-1164,29-01-2024,DHL Supply Chain,Southampton,Doncaster DC,30-01-2024,31-01-2024,1.6,Customs Hold,0,496.59
SHP-1165,29-01-2024,XPO Logistics,Southampton,Manchester DC,31-01-2024,31-01-2024,0,On Time,1,0
SHP-1166,29-01-2024,Wincanton,Southampton,Birmingham NDC,03-02-2024,03-02-2024,0,On Time,1,0
SHP-1167,29-01-2024,Kuehne+Nagel,Rotterdam,Leeds RDC,31-01-2024,31-01-2024,0,On Time,1,0
SHP-1168,29-01-2024,Kuehne+Nagel,Liverpool,Manchester DC,30-01-2024,30-01-2024,0,On Time,1,0
SHP-1169,29-01-2024,XPO Logistics,Felixstowe,Manchester DC,02-02-2024,02-02-2024,0.6,Vehicle Breakdown,1,181.5
SHP-1170,29-01-2024,CEVA Logistics,Liverpool,Doncaster DC,03-02-2024,04-02-2024,1.9,Documentation Error,0,394.73
SHP-1171,30-01-2024,XPO Logistics,Rotterdam,Birmingham NDC,03-02-2024,03-02-2024,0.3,On Time,1,64.8
SHP-1172,30-01-2024,CEVA Logistics,Liverpool,Manchester DC,03-02-2024,03-02-2024,0,On Time,1,0
SHP-1173,30-01-2024,XPO Logistics,Southampton,Doncaster DC,03-02-2024,06-02-2024,3.2,Weather Disruption,0,962.63
SHP-1174,30-01-2024,Wincanton,Rotterdam,Leeds RDC,04-02-2024,04-02-2024,0.6,Port Congestion,1,220.13
SHP-1175,30-01-2024,Wincanton,Felixstowe,Birmingham NDC,03-02-2024,03-02-2024,0,On Time,1,0
SHP-1176,30-01-2024,DHL Supply Chain,Rotterdam,Manchester DC,31-01-2024,31-01-2024,0,On Time,1,0
SHP-1177,30-01-2024,XPO Logistics,Rotterdam,Doncaster DC,01-02-2024,01-02-2024,0.7,Port Congestion,1,289.83
SHP-1178,30-01-2024,Kuehne+Nagel,Felixstowe,Manchester DC,31-01-2024,02-02-2024,2.1,Customs Hold,0,981.14
SHP-1179,30-01-2024,Wincanton,Felixstowe,Leeds RDC,03-02-2024,03-02-2024,0,On Time,1,0
SHP-1180,30-01-2024,DHL Supply Chain,Liverpool,Manchester DC,03-02-2024,03-02-2024,0.5,On Time,1,162.14
SHP-1181,31-01-2024,DHL Supply Chain,Liverpool,Birmingham NDC,04-02-2024,04-02-2024,0.5,On Time,1,213.21
SHP-1182,31-01-2024,DHL Supply Chain,Liverpool,Leeds RDC,04-02-2024,04-02-2024,0.8,Port Congestion,1,119.61
SHP-1183,31-01-2024,CEVA Logistics,Felixstowe,Leeds RDC,04-02-2024,04-02-2024,0,On Time,1,0
SHP-1184,31-01-2024,CEVA Logistics,Hamburg,Birmingham NDC,01-02-2024,01-02-2024,0,On Time,1,0
SHP-1185,31-01-2024,XPO Logistics,Hamburg,Leeds RDC,05-02-2024,05-02-2024,0.9,Driver Shortage,1,330.19
SHP-1186,31-01-2024,CEVA Logistics,Hamburg,Birmingham NDC,03-02-2024,05-02-2024,2.2,Driver Shortage,0,718.13
SHP-1187,31-01-2024,Wincanton,Rotterdam,Doncaster DC,04-02-2024,05-02-2024,1.4,Customs Hold,0,633.36
SHP-1188,31-01-2024,XPO Logistics,Liverpool,Leeds RDC,02-02-2024,02-02-2024,0.1,On Time,1,47.04
SHP-1189,31-01-2024,DHL Supply Chain,Felixstowe,Doncaster DC,01-02-2024,01-02-2024,0.6,Weather Disruption,1,95.22
SHP-1190,31-01-2024,Kuehne+Nagel,Southampton,Doncaster DC,02-02-2024,04-02-2024,2.3,Weather Disruption,0,631.45
SHP-1191,31-01-2024,CEVA Logistics,Rotterdam,Birmingham NDC,03-02-2024,03-02-2024,0,On Time,1,0
SHP-1192,01-02-2024,Kuehne+Nagel,Southampton,Manchester DC,05-02-2024,05-02-2024,0,On Time,1,0
SHP-1193,01-02-2024,Kuehne+Nagel,Southampton,Doncaster DC,04-02-2024,04-02-2024,0,On Time,1,0
SHP-1194,01-02-2024,CEVA Logistics,Felixstowe,Manchester DC,04-02-2024,04-02-2024,0.3,On Time,1,49.7
SHP-1195,01-02-2024,DHL Supply Chain,Southampton,Manchester DC,05-02-2024,06-02-2024,1.5,Documentation Error,0,416.23
SHP-1196,02-02-2024,Kuehne+Nagel,Rotterdam,Doncaster DC,07-02-2024,09-02-2024,2.1,Customs Hold,0,456.15
SHP-1197,02-02-2024,Wincanton,Liverpool,Birmingham NDC,05-02-2024,05-02-2024,0,On Time,1,0
SHP-1198,02-02-2024,Kuehne+Nagel,Hamburg,Manchester DC,06-02-2024,06-02-2024,0.9,Customs Hold,1,132.39
SHP-1199,02-02-2024,DHL Supply Chain,Southampton,Manchester DC,06-02-2024,06-02-2024,0,On Time,1,0
SHP-1200,02-02-2024,XPO Logistics,Felixstowe,Birmingham NDC,03-02-2024,03-02-2024,0.9,Weather Disruption,1,222.04
SHP-1201,02-02-2024,XPO Logistics,Hamburg,Birmingham NDC,03-02-2024,03-02-2024,0,On Time,1,0
SHP-1202,02-02-2024,DHL Supply Chain,Hamburg,Doncaster DC,07-02-2024,07-02-2024,0,On Time,1,0
SHP-1203,03-02-2024,DHL Supply Chain,Felixstowe,Birmingham NDC,05-02-2024,05-02-2024,0,On Time,1,0
SHP-1204,03-02-2024,Wincanton,Felixstowe,Leeds RDC,08-02-2024,09-02-2024,1.1,Weather Disruption,0,231.34
SHP-1205,03-02-2024,CEVA Logistics,Rotterdam,Manchester DC,05-02-2024,05-02-2024,0,On Time,1,0
SHP-1206,04-02-2024,XPO Logistics,Hamburg,Birmingham NDC,09-02-2024,09-02-2024,0.2,On Time,1,34.7
SHP-1207,04-02-2024,XPO Logistics,Rotterdam,Birmingham NDC,07-02-2024,07-02-2024,0,On Time,1,0
SHP-1208,04-02-2024,DHL Supply Chain,Southampton,Leeds RDC,06-02-2024,06-02-2024,0.4,On Time,1,56.47
SHP-1209,05-02-2024,Wincanton,Southampton,Leeds RDC,09-02-2024,09-02-2024,0,On Time,1,0
SHP-1210,05-02-2024,XPO Logistics,Hamburg,Manchester DC,08-02-2024,08-02-2024,0,On Time,1,0
SHP-1211,05-02-2024,DHL Supply Chain,Southampton,Birmingham NDC,09-02-2024,09-02-2024,0.6,Port Congestion,1,89.85
SHP-1212,05-02-2024,CEVA Logistics,Southampton,Leeds RDC,07-02-2024,08-02-2024,1.8,Documentation Error,0,683.28
