date,warehouse_id,shift,inbound_units,outbound_units,headcount,labour_hours,cost_per_unit_gbp,total_cost_gbp,throughput_rate
04-01-2024,WH-DON-02,Day,647,640,40,308.4,2.873,1838.72,2.08
04-01-2024,WH-DON-02,Night,614,619,29,220,2.961,1832.86,2.81
04-01-2024,WH-DON-02,Twilight,647,620,16,93.9,3.25,2015,6.6
04-01-2024,WH-LEE-01,Day,547,558,31,234.2,2.936,1638.29,2.38
04-01-2024,WH-LEE-01,Night,674,748,23,171.7,3.164,2366.67,4.36
04-01-2024,WH-LEE-01,Twilight,651,662,30,174.5,2.435,1611.97,3.79
05-01-2024,WH-DON-01,Day,900,786,30,226.3,3.068,2411.45,3.47
05-01-2024,WH-DON-01,Night,853,907,28,206.5,2.603,2360.92,4.39
05-01-2024,WH-DON-01,Twilight,914,875,21,123.5,1.881,1645.88,7.09
05-01-2024,WH-DON-02,Day,607,563,27,207.3,3.098,1744.17,2.72
05-01-2024,WH-DON-02,Night,589,526,30,233.2,2.102,1105.65,2.26
05-01-2024,WH-DON-02,Twilight,719,756,15,88.9,2.634,1991.3,8.5
05-01-2024,WH-LEE-01,Day,654,638,35,273,2.94,1875.72,2.34
05-01-2024,WH-LEE-01,Night,581,477,15,119.2,3.326,1586.5,4
05-01-2024,WH-LEE-01,Twilight,716,655,16,91.3,3.113,2039.02,7.17
06-01-2024,WH-DON-01,Day,917,852,32,248.4,3.141,2676.13,3.43
06-01-2024,WH-DON-01,Night,874,747,22,173.8,2.787,2081.89,4.3
06-01-2024,WH-DON-02,Day,693,730,43,320.1,2.269,1656.37,2.28
06-01-2024,WH-DON-02,Night,602,660,17,133.7,2.157,1423.62,4.94
06-01-2024,WH-LEE-01,Day,628,575,22,171.3,3.185,1831.38,3.36
06-01-2024,WH-LEE-01,Night,531,432,25,197.8,3.298,1424.74,2.18
08-01-2024,WH-DON-01,Day,949,855,47,358.9,3.188,2725.74,2.38
08-01-2024,WH-DON-01,Night,892,866,18,134,2.067,1790.02,6.46
08-01-2024,WH-DON-01,Twilight,1016,964,15,88.6,2.942,2836.09,10.88
08-01-2024,WH-DON-02,Day,653,575,33,257.7,2.597,1493.28,2.23
08-01-2024,WH-DON-02,Night,715,765,15,118.6,2.988,2285.82,6.45
08-01-2024,WH-DON-02,Twilight,662,598,30,178.3,3.074,1838.25,3.35
08-01-2024,WH-LEE-01,Day,629,563,29,222.9,3.294,1854.52,2.53
08-01-2024,WH-LEE-01,Night,667,593,14,105.2,2.219,1315.87,5.64
08-01-2024,WH-LEE-01,Twilight,642,628,26,153.3,2.516,1580.05,4.1
09-01-2024,WH-DON-01,Day,895,869,31,230.9,2.168,1883.99,3.76
09-01-2024,WH-DON-01,Night,854,737,17,135.3,3.003,2213.21,5.45
09-01-2024,WH-DON-01,Twilight,924,890,30,173.4,2.688,2392.32,5.13
09-01-2024,WH-DON-02,Day,710,693,24,179.4,2.828,1959.8,3.86
09-01-2024,WH-DON-02,Night,671,616,20,154.6,2.148,1323.17,3.98
09-01-2024,WH-DON-02,Twilight,617,639,21,119.8,2.54,1623.06,5.33
09-01-2024,WH-LEE-01,Day,480,549,39,295.4,3.139,1723.31,1.86
09-01-2024,WH-LEE-01,Night,673,614,27,199.9,2.032,1247.65,3.07
09-01-2024,WH-LEE-01,Twilight,618,531,16,89,3.038,1613.18,5.97
10-01-2024,WH-DON-01,Day,796,821,44,340.3,2.672,2193.71,2.41
10-01-2024,WH-DON-01,Night,1020,954,30,236,2.498,2383.09,4.04
10-01-2024,WH-DON-01,Twilight,813,760,17,94.1,3.113,2365.88,8.08
10-01-2024,WH-DON-02,Day,614,622,37,286.7,2.64,1642.08,2.17
10-01-2024,WH-DON-02,Night,732,758,14,109.5,2.09,1584.22,6.92
10-01-2024,WH-DON-02,Twilight,579,543,24,142.4,2.747,1491.62,3.81
10-01-2024,WH-LEE-01,Day,590,591,29,214.7,2.744,1621.7,2.75
10-01-2024,WH-LEE-01,Night,719,669,19,145.5,2.734,1829.05,4.6
10-01-2024,WH-LEE-01,Twilight,707,719,15,89,3.026,2175.69,8.08
11-01-2024,WH-DON-01,Day,960,897,46,362.1,3.383,3034.55,2.48
11-01-2024,WH-DON-01,Night,886,842,24,179.8,3.071,2585.78,4.68
11-01-2024,WH-DON-01,Twilight,907,831,27,153.7,2.129,1769.2,5.41
11-01-2024,WH-DON-02,Day,688,668,30,233.5,2.438,1628.58,2.86
11-01-2024,WH-DON-02,Night,677,645,27,201.8,2.497,1610.56,3.2
11-01-2024,WH-DON-02,Twilight,628,617,17,96.4,2.945,1817.06,6.4
11-01-2024,WH-LEE-01,Day,650,626,27,204.5,2.858,1789.11,3.06
11-01-2024,WH-LEE-01,Night,549,546,22,164.4,1.977,1079.44,3.32
11-01-2024,WH-LEE-01,Twilight,654,673,29,163.6,3.387,2279.45,4.11
12-01-2024,WH-DON-01,Day,952,941,41,316.1,2.002,1883.88,2.98
12-01-2024,WH-DON-01,Night,925,876,15,118.7,3.287,2879.41,7.38
12-01-2024,WH-DON-01,Twilight,831,878,14,79.5,2.561,2248.56,11.04
12-01-2024,WH-DON-02,Day,675,627,48,372.4,3.064,1921.13,1.68
12-01-2024,WH-DON-02,Night,613,591,17,128.6,2.752,1626.43,4.6
12-01-2024,WH-DON-02,Twilight,562,506,15,85.4,3.338,1689.03,5.93
12-01-2024,WH-LEE-01,Day,536,467,29,217.7,2.15,1004.05,2.15
12-01-2024,WH-LEE-01,Night,630,622,23,183,2.645,1645.19,3.4
12-01-2024,WH-LEE-01,Twilight,640,639,22,122.5,2.965,1894.63,5.22
13-01-2024,WH-DON-01,Day,922,849,31,244.5,3.145,2670.11,3.47
13-01-2024,WH-DON-01,Night,914,923,18,135.3,2.855,2635.16,6.82
13-01-2024,WH-DON-02,Day,573,633,48,356.3,2.396,1516.67,1.78
13-01-2024,WH-DON-02,Night,580,602,20,153.8,3.22,1938.44,3.91
13-01-2024,WH-LEE-01,Day,721,799,22,168.5,3.12,2492.88,4.74
13-01-2024,WH-LEE-01,Night,601,623,15,112.6,3.359,2092.66,5.53
15-01-2024,WH-DON-01,Day,808,795,36,268.8,1.864,1481.88,2.96
15-01-2024,WH-DON-01,Night,906,827,23,170.6,2.169,1793.76,4.85
15-01-2024,WH-DON-01,Twilight,912,960,25,145.6,2.412,2315.52,6.59
15-01-2024,WH-DON-02,Day,688,642,22,172.9,2.224,1427.81,3.71
15-01-2024,WH-DON-02,Night,683,652,30,238.5,2.265,1476.78,2.73
15-01-2024,WH-DON-02,Twilight,743,762,27,158.7,2.535,1931.67,4.8
15-01-2024,WH-LEE-01,Day,727,682,31,247.6,3.015,2056.23,2.75
15-01-2024,WH-LEE-01,Night,609,557,23,170.5,3.114,1734.5,3.27
15-01-2024,WH-LEE-01,Twilight,536,508,25,139.3,2.821,1433.07,3.65
16-01-2024,WH-DON-01,Day,884,848,24,179.3,2.779,2356.59,4.73
16-01-2024,WH-DON-01,Night,921,900,25,197.2,2.409,2168.1,4.56
16-01-2024,WH-DON-01,Twilight,859,846,18,105.4,2.288,1935.65,8.03
16-01-2024,WH-DON-02,Day,672,691,44,324.5,3.348,2313.47,2.13
16-01-2024,WH-DON-02,Night,563,458,25,188.7,2.881,1319.5,2.43
16-01-2024,WH-DON-02,Twilight,690,729,23,131.9,1.995,1454.36,5.53
16-01-2024,WH-LEE-01,Day,754,723,26,193.2,2.385,1724.35,3.74
16-01-2024,WH-LEE-01,Night,750,721,20,151.4,1.872,1349.71,4.76
16-01-2024,WH-LEE-01,Twilight,688,634,29,172,1.939,1229.33,3.69
17-01-2024,WH-DON-01,Day,1040,1018,46,340.1,3.013,3067.23,2.99
17-01-2024,WH-DON-01,Night,907,949,25,197.1,3.084,2926.72,4.81
17-01-2024,WH-DON-01,Twilight,953,982,25,146.3,2.488,2443.22,6.71
17-01-2024,WH-DON-02,Day,568,512,24,185,3.049,1561.09,2.77
17-01-2024,WH-DON-02,Night,609,561,26,200.1,2.605,1461.4,2.8
17-01-2024,WH-DON-02,Twilight,700,563,25,138.3,3.381,1903.5,4.07
17-01-2024,WH-LEE-01,Day,714,658,43,334.2,1.939,1275.86,1.97
17-01-2024,WH-LEE-01,Night,707,691,19,141.9,2.575,1779.33,4.87
17-01-2024,WH-LEE-01,Twilight,625,709,18,99.8,2.206,1564.05,7.1
18-01-2024,WH-DON-01,Day,864,897,41,318,2,1794,2.82
18-01-2024,WH-DON-01,Night,964,850,27,209.5,2.568,2182.8,4.06
18-01-2024,WH-DON-01,Twilight,934,859,27,160.8,3.148,2704.13,5.34
18-01-2024,WH-DON-02,Day,670,599,48,354,2.245,1344.76,1.69
18-01-2024,WH-DON-02,Night,584,428,23,174.8,3.046,1303.69,2.45
18-01-2024,WH-DON-02,Twilight,669,610,17,99.3,2.952,1800.72,6.14
18-01-2024,WH-LEE-01,Day,537,501,39,292.4,2.683,1344.18,1.71
18-01-2024,WH-LEE-01,Night,638,566,25,188.7,2.192,1240.67,3
18-01-2024,WH-LEE-01,Twilight,599,565,22,124.9,2.891,1633.41,4.52
19-01-2024,WH-DON-01,Day,979,938,34,267.7,2.193,2057.03,3.5
19-01-2024,WH-DON-01,Night,1003,999,24,177.7,3.118,3114.88,5.62
19-01-2024,WH-DON-01,Twilight,904,917,20,115.9,2.147,1968.8,7.91
19-01-2024,WH-DON-02,Day,674,626,48,378.3,2.262,1416.01,1.65
19-01-2024,WH-DON-02,Night,672,599,30,225,2.309,1383.09,2.66
19-01-2024,WH-DON-02,Twilight,638,675,27,150.3,2.332,1574.1,4.49
19-01-2024,WH-LEE-01,Day,692,651,45,338,3.114,2027.21,1.93
19-01-2024,WH-LEE-01,Night,683,601,27,209.3,3.057,1837.26,2.87
19-01-2024,WH-LEE-01,Twilight,565,453,26,149.5,3.221,1459.11,3.03
20-01-2024,WH-DON-01,Day,918,780,36,274.8,3.116,2430.48,2.84
20-01-2024,WH-DON-01,Night,901,855,23,175,2.241,1916.06,4.89
20-01-2024,WH-DON-02,Day,631,653,26,197.1,2.777,1813.38,3.31
20-01-2024,WH-DON-02,Night,624,668,16,120.8,2.461,1643.95,5.53
20-01-2024,WH-LEE-01,Day,639,595,30,231.8,3.184,1894.48,2.57
20-01-2024,WH-LEE-01,Night,703,816,29,220.4,2.754,2247.26,3.7
22-01-2024,WH-DON-01,Day,890,782,47,366.1,3.208,2508.66,2.14
22-01-2024,WH-DON-01,Night,845,907,17,132,2.828,2565,6.87
22-01-2024,WH-DON-01,Twilight,917,891,22,126.4,2.244,1999.4,7.05
22-01-2024,WH-DON-02,Day,747,729,25,190.5,2.662,1940.6,3.83
22-01-2024,WH-DON-02,Night,568,594,28,217.3,2.566,1524.2,2.73
22-01-2024,WH-DON-02,Twilight,588,518,25,147.4,2.097,1086.25,3.51
22-01-2024,WH-LEE-01,Day,662,684,27,209.7,2.258,1544.47,3.26
22-01-2024,WH-LEE-01,Night,669,656,14,105.4,2.108,1382.85,6.22
22-01-2024,WH-LEE-01,Twilight,685,727,14,79.9,3.2,2326.4,9.1
23-01-2024,WH-DON-01,Day,865,747,48,375.6,3.386,2529.34,1.99
23-01-2024,WH-DON-01,Night,973,959,25,191.7,2.22,2128.98,5
23-01-2024,WH-DON-01,Twilight,872,934,23,136.9,3.287,3070.06,6.82
23-01-2024,WH-DON-02,Day,654,570,41,308.7,2.704,1541.28,1.85
23-01-2024,WH-DON-02,Night,726,640,26,201,2.475,1584,3.18
23-01-2024,WH-DON-02,Twilight,642,590,20,112.5,2.532,1493.88,5.24
23-01-2024,WH-LEE-01,Day,560,552,37,282.9,2.614,1442.93,1.95
23-01-2024,WH-LEE-01,Night,677,606,30,238.8,2.618,1586.51,2.54
23-01-2024,WH-LEE-01,Twilight,651,577,28,162.4,3.322,1916.79,3.55
24-01-2024,WH-DON-01,Day,929,901,47,353.2,2.968,2674.17,2.55
24-01-2024,WH-DON-01,Night,955,1013,29,225.9,2.354,2384.6,4.48
24-01-2024,WH-DON-01,Twilight,938,948,24,140.3,2.443,2315.96,6.76
24-01-2024,WH-DON-02,Day,587,604,25,186.9,2.892,1746.77,3.23
24-01-2024,WH-DON-02,Night,633,527,30,225.1,2.17,1143.59,2.34
24-01-2024,WH-DON-02,Twilight,535,523,25,140.6,2.285,1195.06,3.72
24-01-2024,WH-LEE-01,Day,673,694,41,325.6,3.155,2189.57,2.13
24-01-2024,WH-LEE-01,Night,638,703,19,142,1.954,1373.66,4.95
24-01-2024,WH-LEE-01,Twilight,640,643,24,138.3,3.359,2159.84,4.65
25-01-2024,WH-DON-01,Day,819,703,41,325.1,2.851,2004.25,2.16
25-01-2024,WH-DON-01,Night,817,783,19,146.5,2.212,1732,5.34
25-01-2024,WH-DON-01,Twilight,856,809,24,134.2,2.647,2141.42,6.03
25-01-2024,WH-DON-02,Day,581,591,31,246.6,1.888,1115.81,2.4
25-01-2024,WH-DON-02,Night,687,626,14,109.3,3.14,1965.64,5.73
25-01-2024,WH-DON-02,Twilight,631,553,16,94.9,3.246,1795.04,5.83
25-01-2024,WH-LEE-01,Day,699,710,41,312.3,2.904,2061.84,2.27
25-01-2024,WH-LEE-01,Night,659,635,22,166.2,2.815,1787.52,3.82
25-01-2024,WH-LEE-01,Twilight,608,644,28,164.4,2.511,1617.08,3.92
26-01-2024,WH-DON-01,Day,851,803,24,191.4,1.933,1552.2,4.2
26-01-2024,WH-DON-01,Night,908,919,19,148.7,3.196,2937.12,6.18
26-01-2024,WH-DON-01,Twilight,854,862,26,149.3,2.026,1746.41,5.77
26-01-2024,WH-DON-02,Day,740,669,33,244.1,2.638,1764.82,2.74
26-01-2024,WH-DON-02,Night,582,514,14,107,2.846,1462.84,4.8
26-01-2024,WH-DON-02,Twilight,727,719,26,144.2,2.923,2101.64,4.99
26-01-2024,WH-LEE-01,Day,616,725,35,259.6,3.108,2253.3,2.79
26-01-2024,WH-LEE-01,Night,580,556,14,107.7,3.144,1748.06,5.16
26-01-2024,WH-LEE-01,Twilight,712,654,26,152.5,2.802,1832.51,4.29
27-01-2024,WH-DON-01,Day,934,969,29,224,2.678,2594.98,4.33
27-01-2024,WH-DON-01,Night,962,902,30,226.8,2.218,2000.64,3.98
27-01-2024,WH-DON-02,Day,660,566,31,245.8,2.855,1615.93,2.3
27-01-2024,WH-DON-02,Night,692,717,21,162.6,2.998,2149.57,4.41
27-01-2024,WH-LEE-01,Day,653,656,40,298,1.881,1233.94,2.2
27-01-2024,WH-LEE-01,Night,650,587,18,139.9,2.446,1435.8,4.2
29-01-2024,WH-DON-01,Day,911,946,24,183.7,3.325,3145.45,5.15
29-01-2024,WH-DON-01,Night,792,752,23,183,2.374,1785.25,4.11
29-01-2024,WH-DON-01,Twilight,1017,1001,20,118,3.113,3116.11,8.48
29-01-2024,WH-DON-02,Day,709,747,24,186.8,1.872,1398.38,4
29-01-2024,WH-DON-02,Night,613,578,28,220.9,2.118,1224.2,2.62
29-01-2024,WH-DON-02,Twilight,722,709,18,100.5,2.953,2093.68,7.05
29-01-2024,WH-LEE-01,Day,661,559,42,325.6,2.597,1451.72,1.72
29-01-2024,WH-LEE-01,Night,655,614,30,225.7,3.038,1865.33,2.72
29-01-2024,WH-LEE-01,Twilight,587,609,22,122.6,2.464,1500.58,4.97
30-01-2024,WH-DON-01,Day,924,891,30,222.5,3.328,2965.25,4
30-01-2024,WH-DON-01,Night,898,916,15,115.6,2.66,2436.56,7.92
30-01-2024,WH-DON-01,Twilight,880,881,17,97.1,2.737,2411.3,9.07
30-01-2024,WH-DON-02,Day,637,536,24,181.4,2.441,1308.38,2.95
30-01-2024,WH-DON-02,Night,717,658,16,126.5,2.34,1539.72,5.2
30-01-2024,WH-DON-02,Twilight,593,669,30,176.6,2.001,1338.67,3.79
30-01-2024,WH-LEE-01,Day,663,597,26,197.3,3.106,1854.28,3.03
30-01-2024,WH-LEE-01,Night,703,757,14,106,3.12,2361.84,7.14
30-01-2024,WH-LEE-01,Twilight,665,661,22,125.1,3.346,2211.71,5.28
31-01-2024,WH-DON-01,Day,740,778,47,373,2.796,2175.29,2.09
31-01-2024,WH-DON-01,Night,825,762,29,222.6,2.202,1677.92,3.42
31-01-2024,WH-DON-01,Twilight,922,842,27,161.5,2.776,2337.39,5.21
31-01-2024,WH-DON-02,Day,592,632,25,199.7,2.078,1313.3,3.16
31-01-2024,WH-DON-02,Night,569,579,15,114.8,2.013,1165.53,5.04
31-01-2024,WH-DON-02,Twilight,632,633,26,149.9,3.017,1909.76,4.22
31-01-2024,WH-LEE-01,Day,566,617,25,189.9,2.4,1480.8,3.25
31-01-2024,WH-LEE-01,Night,589,622,19,141,2.013,1252.09,4.41
31-01-2024,WH-LEE-01,Twilight,621,606,27,153.9,3.337,2022.22,3.94
01-02-2024,WH-DON-01,Day,803,777,25,197,2.887,2243.2,3.94
01-02-2024,WH-DON-01,Night,970,970,26,195.7,2.368,2296.96,4.96
01-02-2024,WH-DON-01,Twilight,918,843,30,174.3,2.993,2523.1,4.84
01-02-2024,WH-DON-02,Day,621,621,37,277.2,2.887,1792.83,2.24
01-02-2024,WH-DON-02,Night,632,604,28,211.5,3.3,1993.2,2.86
01-02-2024,WH-DON-02,Twilight,699,748,14,77.8,2.93,2191.64,9.61
01-02-2024,WH-LEE-01,Day,635,659,30,227.3,2.858,1883.42,2.9
01-02-2024,WH-LEE-01,Night,739,718,20,152.3,3.312,2378.02,4.71
01-02-2024,WH-LEE-01,Twilight,693,716,17,94.9,2.549,1825.08,7.54
02-02-2024,WH-DON-01,Day,890,812,40,311.5,2.456,1994.27,2.61
02-02-2024,WH-DON-01,Night,872,876,16,118.8,2.321,2033.2,7.37
02-02-2024,WH-DON-01,Twilight,981,961,29,171.1,3.346,3215.51,5.62
02-02-2024,WH-DON-02,Day,658,646,45,355.4,2.812,1816.55,1.82
02-02-2024,WH-DON-02,Night,735,752,20,149.5,3.065,2304.88,5.03
02-02-2024,WH-DON-02,Twilight,725,671,17,99.6,3.275,2197.53,6.74
02-02-2024,WH-LEE-01,Day,622,563,41,302.7,3.152,1774.58,1.86
02-02-2024,WH-LEE-01,Night,646,486,27,211.3,2.604,1265.54,2.3
02-02-2024,WH-LEE-01,Twilight,648,700,29,172.1,2.431,1701.7,4.07
03-02-2024,WH-DON-01,Day,840,777,22,162.5,3.113,2418.8,4.78
03-02-2024,WH-DON-01,Night,820,774,26,204.1,2.122,1642.43,3.79
03-02-2024,WH-DON-02,Day,567,565,26,206.6,3.198,1806.87,2.73
03-02-2024,WH-DON-02,Night,648,632,14,111.6,2.195,1387.24,5.66
03-02-2024,WH-LEE-01,Day,641,624,36,286.3,2.858,1783.39,2.18
03-02-2024,WH-LEE-01,Night,571,526,20,157.3,2.846,1497,3.34
05-02-2024,WH-DON-01,Day,857,830,25,184.5,3.396,2818.68,4.5
05-02-2024,WH-DON-01,Night,880,893,18,138.4,2.7,2411.1,6.45
05-02-2024,WH-DON-01,Twilight,889,744,30,177.6,2.516,1871.9,4.19
05-02-2024,WH-DON-02,Day,578,609,40,307.4,2.863,1743.57,1.98
05-02-2024,WH-DON-02,Night,614,541,29,220.4,3.375,1825.88,2.45
05-02-2024,WH-DON-02,Twilight,682,674,17,93.9,2.785,1877.09,7.18
05-02-2024,WH-LEE-01,Day,644,704,40,304.3,2.613,1839.55,2.31
05-02-2024,WH-LEE-01,Night,671,690,27,208.1,2.161,1491.09,3.32
05-02-2024,WH-LEE-01,Twilight,605,621,16,89.8,2.351,1459.97,6.92
06-02-2024,WH-DON-01,Day,831,862,37,279.6,3.189,2748.92,3.08
06-02-2024,WH-DON-01,Night,947,996,17,125.6,2.937,2925.25,7.93
06-02-2024,WH-DON-01,Twilight,945,897,19,105.3,2.114,1896.26,8.52
06-02-2024,WH-DON-02,Day,609,541,23,171.4,2.256,1220.5,3.16
06-02-2024,WH-DON-02,Night,652,551,24,188.2,2.276,1254.08,2.93
06-02-2024,WH-DON-02,Twilight,648,578,20,114,1.932,1116.7,5.07
06-02-2024,WH-LEE-01,Day,705,665,44,341.8,2.17,1443.05,1.95
06-02-2024,WH-LEE-01,Night,656,629,27,202.4,3.39,2132.31,3.11
06-02-2024,WH-LEE-01,Twilight,618,604,21,124.1,2.999,1811.4,4.87
07-02-2024,WH-DON-01,Day,836,778,41,306.3,2.868,2231.3,2.54
07-02-2024,WH-DON-01,Night,849,764,16,127.5,1.974,1508.14,5.99
07-02-2024,WH-DON-01,Twilight,920,1036,29,165.8,2.089,2164.2,6.25
07-02-2024,WH-DON-02,Day,652,618,26,199.7,2.217,1370.11,3.09
07-02-2024,WH-DON-02,Night,638,624,20,147.3,2.809,1752.82,4.24
07-02-2024,WH-DON-02,Twilight,629,586,22,122.4,2.135,1251.11,4.79
07-02-2024,WH-LEE-01,Day,625,619,42,316.5,3.163,1957.9,1.96
07-02-2024,WH-LEE-01,Night,713,694,30,225.6,1.851,1284.59,3.08
07-02-2024,WH-LEE-01,Twilight,545,494,28,160.3,2.706,1336.76,3.08
08-02-2024,WH-DON-01,Day,955,988,22,170,2.13,2104.44,5.81
08-02-2024,WH-DON-01,Night,780,701,15,113,2.109,1478.41,6.2
08-02-2024,WH-DON-01,Twilight,934,909,21,120.1,3.15,2863.35,7.57
08-02-2024,WH-DON-02,Day,646,704,40,298.5,2.799,1970.5,2.36
08-02-2024,WH-DON-02,Night,618,610,27,215.3,2.069,1262.09,2.83
08-02-2024,WH-DON-02,Twilight,591,460,29,163.7,2.147,987.62,2.81
08-02-2024,WH-LEE-01,Day,620,596,24,178.3,3.007,1792.17,3.34
08-02-2024,WH-LEE-01,Night,638,651,16,126.2,3.067,1996.62,5.16
08-02-2024,WH-LEE-01,Twilight,679,595,30,168.7,2.643,1572.58,3.53
09-02-2024,WH-DON-01,Day,855,834,28,206.7,2.407,2007.44,4.03
09-02-2024,WH-DON-01,Night,941,787,14,105.9,2.723,2143,7.43
09-02-2024,WH-DON-01,Twilight,898,804,21,123.9,2.847,2288.99,6.49
09-02-2024,WH-DON-02,Day,739,776,37,295,2.63,2040.88,2.63
09-02-2024,WH-DON-02,Night,623,616,26,193.2,1.973,1215.37,3.19
09-02-2024,WH-DON-02,Twilight,676,630,20,115.8,3.207,2020.41,5.44
09-02-2024,WH-LEE-01,Day,694,651,46,339.9,3.005,1956.25,1.92
09-02-2024,WH-LEE-01,Night,674,547,23,178.1,3.01,1646.47,3.07
09-02-2024,WH-LEE-01,Twilight,582,594,30,173,2.263,1344.22,3.43
10-02-2024,WH-DON-01,Day,913,826,36,266.1,3.233,2670.46,3.1
10-02-2024,WH-DON-01,Night,844,793,23,174.5,3.363,2666.86,4.54
10-02-2024,WH-DON-02,Day,555,531,23,174.7,1.937,1028.55,3.04
10-02-2024,WH-DON-02,Night,752,702,15,117.6,1.969,1382.24,5.97
10-02-2024,WH-LEE-01,Day,629,498,27,204.9,2.004,997.99,2.43
10-02-2024,WH-LEE-01,Night,562,534,21,155.9,3.018,1611.61,3.43
12-02-2024,WH-DON-01,Day,900,777,42,321.5,3.221,2502.72,2.42
12-02-2024,WH-DON-01,Night,870,759,30,234.1,1.993,1512.69,3.24
12-02-2024,WH-DON-01,Twilight,1016,947,20,110.9,2.128,2015.22,8.54
12-02-2024,WH-DON-02,Day,659,592,41,320.9,2.917,1726.86,1.84
12-02-2024,WH-DON-02,Night,656,661,29,228.5,2.724,1800.56,2.89
12-02-2024,WH-DON-02,Twilight,622,711,16,92.1,3.161,2247.47,7.72
12-02-2024,WH-LEE-01,Day,734,676,44,332.3,2.504,1692.7,2.03
12-02-2024,WH-LEE-01,Night,628,579,29,227.5,2.928,1695.31,2.55
12-02-2024,WH-LEE-01,Twilight,632,713,24,142.2,3.053,2176.79,5.01
13-02-2024,WH-DON-01,Day,836,743,43,323.5,1.964,1459.25,2.3
13-02-2024,WH-DON-01,Night,929,867,30,233.3,3.027,2624.41,3.72
13-02-2024,WH-DON-01,Twilight,1004,980,22,126.7,2.023,1982.54,7.73
13-02-2024,WH-DON-02,Day,668,633,44,341.5,2.304,1458.43,1.85
13-02-2024,WH-DON-02,Night,786,807,16,120.8,3.084,2488.79,6.68
13-02-2024,WH-DON-02,Twilight,659,598,20,113.9,2.335,1396.33,5.25
13-02-2024,WH-LEE-01,Day,682,669,27,214.8,2.327,1556.76,3.11
13-02-2024,WH-LEE-01,Night,568,589,19,151.2,3.272,1927.21,3.9
13-02-2024,WH-LEE-01,Twilight,692,644,30,171.7,1.858,1196.55,3.75
14-02-2024,WH-DON-01,Day,968,1032,32,236.4,2.816,2906.11,4.37
14-02-2024,WH-DON-01,Night,931,780,26,206.7,2.066,1611.48,3.77
14-02-2024,WH-DON-01,Twilight,938,879,25,147.9,2.05,1801.95,5.94
14-02-2024,WH-DON-02,Day,624,603,26,198.2,3.304,1992.31,3.04
14-02-2024,WH-DON-02,Night,679,744,19,144.6,2.733,2033.35,5.15
14-02-2024,WH-DON-02,Twilight,616,702,30,176.1,2.142,1503.68,3.99
14-02-2024,WH-LEE-01,Day,598,529,42,312.1,2.279,1205.59,1.69
14-02-2024,WH-LEE-01,Night,720,734,24,183.1,2.807,2060.34,4.01
