date,warehouse_id,shift,orders_received,orders_fulfilled,fulfillment_rate,pick_accuracy,units_per_hour,dock_to_stock_hrs,sla_met
03-01-2024,WH-DON-02,Twilight,293,274,0.9354,0.9889,96.6,1.75,0
03-01-2024,WH-LEE-01,Day,312,304,0.9762,0.9858,68,2.37,1
03-01-2024,WH-LEE-01,Night,272,247,0.9117,0.997,99.5,4.19,0
03-01-2024,WH-LEE-01,Twilight,306,301,0.9846,0.9975,72,2.95,1
04-01-2024,WH-DON-01,Day,429,392,0.9159,0.9923,104,1.66,0
04-01-2024,WH-DON-01,Night,382,356,0.9325,0.9954,80,1.96,0
04-01-2024,WH-DON-01,Twilight,425,406,0.9558,0.9914,77.5,2.32,1
04-01-2024,WH-DON-02,Day,353,334,0.9472,0.9855,73.7,2.01,0
04-01-2024,WH-DON-02,Night,308,289,0.9387,0.9875,71.7,1.99,0
04-01-2024,WH-DON-02,Twilight,348,323,0.9295,0.9964,108.4,1.46,0
04-01-2024,WH-LEE-01,Day,328,305,0.9302,0.9897,78.1,1.68,0
04-01-2024,WH-LEE-01,Night,345,327,0.9502,0.993,96.4,1.89,1
04-01-2024,WH-LEE-01,Twilight,294,269,0.9182,0.9831,87.9,2.88,0
05-01-2024,WH-DON-01,Day,414,411,0.9937,0.9738,86.9,2.42,1
05-01-2024,WH-DON-01,Night,375,368,0.9832,0.978,70,2.82,1
05-01-2024,WH-DON-01,Twilight,398,370,0.9312,0.9969,88.8,4.3,0
05-01-2024,WH-DON-02,Day,321,307,0.9568,0.9724,115,4.21,1
05-01-2024,WH-DON-02,Night,377,370,0.9821,0.9757,82.7,1.97,1
05-01-2024,WH-DON-02,Twilight,296,279,0.9441,0.9726,85.8,4.75,0
05-01-2024,WH-LEE-01,Day,304,288,0.9487,0.9828,113,4.78,0
05-01-2024,WH-LEE-01,Night,362,346,0.9572,0.9911,68.5,2.27,1
05-01-2024,WH-LEE-01,Twilight,348,332,0.9561,0.9919,70.7,3.3,1
06-01-2024,WH-DON-01,Day,412,392,0.9527,0.9949,75.4,4.66,1
06-01-2024,WH-DON-01,Night,436,418,0.9606,0.9899,71.9,1.63,1
06-01-2024,WH-DON-02,Day,319,314,0.9857,0.9779,95.9,3.43,1
06-01-2024,WH-DON-02,Night,275,262,0.9544,0.9972,70.6,3.78,1
06-01-2024,WH-LEE-01,Day,329,306,0.9303,0.9821,99.6,2.28,0
06-01-2024,WH-LEE-01,Night,289,264,0.9162,0.9838,104.6,4.79,0
08-01-2024,WH-DON-01,Day,465,426,0.9162,0.977,80.5,4.56,0
08-01-2024,WH-DON-01,Night,465,437,0.9414,0.9754,97.5,3.73,0
08-01-2024,WH-DON-01,Twilight,378,363,0.962,0.9986,98.7,1.23,1
08-01-2024,WH-DON-02,Day,320,309,0.9664,0.9973,74.3,1.62,1
08-01-2024,WH-DON-02,Night,286,262,0.9191,0.9865,73.5,3.38,0
08-01-2024,WH-DON-02,Twilight,305,293,0.9639,0.9784,91,4.46,1
08-01-2024,WH-LEE-01,Day,290,284,0.9819,0.9736,87.9,2.2,1
08-01-2024,WH-LEE-01,Night,361,348,0.9642,0.9783,93.6,3.19,1
08-01-2024,WH-LEE-01,Twilight,311,294,0.9464,0.9713,71.5,4.38,0
09-01-2024,WH-DON-01,Day,451,442,0.9809,0.9873,75,1.66,1
09-01-2024,WH-DON-01,Night,398,372,0.9362,0.9962,95.9,4.3,0
09-01-2024,WH-DON-01,Twilight,436,406,0.9312,0.9739,104.7,4.38,0
09-01-2024,WH-DON-02,Day,297,280,0.9445,0.9884,75.3,4.55,0
09-01-2024,WH-DON-02,Night,364,356,0.9789,0.9957,62.9,3.85,1
09-01-2024,WH-DON-02,Twilight,248,232,0.9382,0.9971,105.7,4.31,0
09-01-2024,WH-LEE-01,Day,318,310,0.9769,0.974,109,4.29,1
09-01-2024,WH-LEE-01,Night,288,267,0.9289,0.9939,81.6,2.3,0
09-01-2024,WH-LEE-01,Twilight,316,288,0.912,0.9764,83.4,4.31,0
10-01-2024,WH-DON-01,Day,399,395,0.9922,0.9788,98.1,2.64,1
10-01-2024,WH-DON-01,Night,456,451,0.9898,0.9742,103.4,1.84,1
10-01-2024,WH-DON-01,Twilight,415,411,0.9918,0.9784,73.1,2.76,1
10-01-2024,WH-DON-02,Day,306,294,0.9615,0.9853,86.1,3.28,1
10-01-2024,WH-DON-02,Night,284,264,0.9317,0.9908,62,4.53,0
10-01-2024,WH-DON-02,Twilight,263,255,0.9731,0.9898,85.1,1.45,1
10-01-2024,WH-LEE-01,Day,298,288,0.9665,0.9802,82.8,4.25,1
10-01-2024,WH-LEE-01,Night,305,285,0.9363,0.9824,79.1,2.26,0
10-01-2024,WH-LEE-01,Twilight,285,262,0.9208,0.9828,112.2,3.64,0
11-01-2024,WH-DON-01,Day,453,423,0.9356,0.9863,68,2.23,0
11-01-2024,WH-DON-01,Night,396,374,0.9465,0.9872,89.9,2.87,0
11-01-2024,WH-DON-01,Twilight,400,380,0.9502,0.9962,105.4,1.81,1
11-01-2024,WH-DON-02,Day,317,290,0.9172,0.9854,97.7,2.41,0
11-01-2024,WH-DON-02,Night,330,319,0.9672,0.9773,70.4,1.29,1
11-01-2024,WH-DON-02,Twilight,264,245,0.9308,0.9843,107.9,1.46,0
11-01-2024,WH-LEE-01,Day,273,252,0.9265,0.9905,91.2,2.08,0
11-01-2024,WH-LEE-01,Night,331,319,0.9658,0.9712,94,3.97,1
11-01-2024,WH-LEE-01,Twilight,334,308,0.925,0.9978,92.3,1.38,0
12-01-2024,WH-DON-01,Day,439,408,0.9312,0.9948,89.5,4.09,0
12-01-2024,WH-DON-01,Night,375,360,0.9606,0.9976,100,3.41,1
12-01-2024,WH-DON-01,Twilight,342,332,0.9711,0.9851,107,3.17,1
12-01-2024,WH-DON-02,Day,349,331,0.9503,0.9783,79.6,3.5,1
12-01-2024,WH-DON-02,Night,280,273,0.9751,0.9856,88.7,2.19,1
12-01-2024,WH-DON-02,Twilight,331,308,0.9331,0.98,93.4,1.7,0
12-01-2024,WH-LEE-01,Day,321,298,0.9297,0.9904,101.2,1.43,0
12-01-2024,WH-LEE-01,Night,278,262,0.9453,0.9768,79.8,4.46,0
12-01-2024,WH-LEE-01,Twilight,330,316,0.9596,0.9905,108.3,3.96,1
13-01-2024,WH-DON-01,Day,417,391,0.9399,0.9921,108.1,4.63,0
13-01-2024,WH-DON-01,Night,422,399,0.9456,0.9919,85.2,3.37,0
13-01-2024,WH-DON-02,Day,313,296,0.947,0.9718,83.8,3.64,0
13-01-2024,WH-DON-02,Night,330,311,0.9444,0.9756,81.9,1.66,0
13-01-2024,WH-LEE-01,Day,304,286,0.9435,0.9868,69.3,3.51,0
13-01-2024,WH-LEE-01,Night,305,281,0.9215,0.9839,64,2.56,0
15-01-2024,WH-DON-01,Day,426,415,0.9747,0.9816,103.3,4.19,1
15-01-2024,WH-DON-01,Night,445,414,0.9314,0.9733,62.7,3.14,0
15-01-2024,WH-DON-01,Twilight,447,431,0.9653,0.9929,98.6,3.92,1
15-01-2024,WH-DON-02,Day,309,306,0.9907,0.9766,69,1.75,1
15-01-2024,WH-DON-02,Night,341,326,0.9579,0.9771,91.8,3.96,1
15-01-2024,WH-DON-02,Twilight,341,315,0.9243,0.988,103.2,1.61,0
15-01-2024,WH-LEE-01,Day,342,314,0.9192,0.9717,82.7,3.64,0
15-01-2024,WH-LEE-01,Night,239,236,0.9914,0.9821,92.5,1.47,1
15-01-2024,WH-LEE-01,Twilight,294,270,0.9187,0.9926,108,3.36,0
16-01-2024,WH-DON-01,Day,380,349,0.9203,0.9985,104.8,2.45,0
16-01-2024,WH-DON-01,Night,394,375,0.953,0.9806,98.2,4.16,1
16-01-2024,WH-DON-01,Twilight,432,396,0.919,0.9979,97.9,4.18,0
16-01-2024,WH-DON-02,Day,301,292,0.9724,0.998,80.7,4.11,1
16-01-2024,WH-DON-02,Night,279,266,0.9557,0.9845,80.5,3.83,1
16-01-2024,WH-DON-02,Twilight,303,297,0.9806,0.9734,109.4,2.08,1
16-01-2024,WH-LEE-01,Day,368,349,0.9495,0.9881,85.8,1.3,0
16-01-2024,WH-LEE-01,Night,321,297,0.928,0.9933,76.4,4.37,0
16-01-2024,WH-LEE-01,Twilight,294,285,0.9696,0.9787,68.5,4.61,1
17-01-2024,WH-DON-01,Day,461,438,0.9515,0.9922,100.5,3.53,1
17-01-2024,WH-DON-01,Night,444,422,0.9517,0.9932,65.9,2,1
17-01-2024,WH-DON-01,Twilight,410,393,0.9594,0.9843,93,2.73,1
17-01-2024,WH-DON-02,Day,286,278,0.9734,0.9803,101,2.18,1
17-01-2024,WH-DON-02,Night,309,286,0.9264,0.9743,84.8,3.94,0
17-01-2024,WH-DON-02,Twilight,325,300,0.9257,0.9771,90.8,3.81,0
17-01-2024,WH-LEE-01,Day,346,323,0.9341,0.9738,77.1,2.02,0
17-01-2024,WH-LEE-01,Night,304,281,0.9253,0.9714,84.7,2.19,0
17-01-2024,WH-LEE-01,Twilight,347,336,0.9693,0.9745,108.8,2.97,1
18-01-2024,WH-DON-01,Day,413,406,0.9842,0.9871,90.1,2.79,1
18-01-2024,WH-DON-01,Night,423,418,0.99,0.9844,97,2.64,1
18-01-2024,WH-DON-01,Twilight,428,392,0.9163,0.9886,70.5,1.74,0
18-01-2024,WH-DON-02,Day,286,284,0.9945,0.9743,103.9,3.38,1
18-01-2024,WH-DON-02,Night,300,293,0.9772,0.9773,84.2,2.82,1
18-01-2024,WH-DON-02,Twilight,254,252,0.9942,0.9796,97.2,3.39,1
18-01-2024,WH-LEE-01,Day,330,321,0.9729,0.9975,77.8,1.96,1
18-01-2024,WH-LEE-01,Night,300,277,0.9248,0.9731,62,2.82,0
18-01-2024,WH-LEE-01,Twilight,295,283,0.9605,0.9792,78.9,3.75,1
19-01-2024,WH-DON-01,Day,410,397,0.9684,0.9969,105,3.45,1
19-01-2024,WH-DON-01,Night,388,374,0.9662,0.9971,80.1,3.16,1
19-01-2024,WH-DON-01,Twilight,380,372,0.9803,0.973,75.8,2.31,1
19-01-2024,WH-DON-02,Day,257,250,0.9737,0.9869,81.6,1.65,1
19-01-2024,WH-DON-02,Night,292,289,0.9901,0.985,83,1.49,1
19-01-2024,WH-DON-02,Twilight,266,242,0.9134,0.9831,83.1,2.1,0
19-01-2024,WH-LEE-01,Day,374,366,0.9811,0.9871,112.7,4.8,1
19-01-2024,WH-LEE-01,Night,351,339,0.9671,0.9785,63.6,3.92,1
19-01-2024,WH-LEE-01,Twilight,267,263,0.9879,0.9761,95.5,3.49,1
20-01-2024,WH-DON-01,Day,428,407,0.9518,0.9736,84.4,2.4,1
20-01-2024,WH-DON-01,Night,391,366,0.938,0.9904,74.2,4.6,0
20-01-2024,WH-DON-02,Day,258,252,0.9792,0.9864,89.4,2.33,1
20-01-2024,WH-DON-02,Night,274,258,0.9444,0.9854,104.1,3.57,0
20-01-2024,WH-LEE-01,Day,381,364,0.9561,0.9826,76.8,2.5,1
20-01-2024,WH-LEE-01,Night,311,303,0.9746,0.9767,85.4,4.54,1
22-01-2024,WH-DON-01,Day,377,357,0.9472,0.9906,73.7,4.7,0
22-01-2024,WH-DON-01,Night,402,371,0.9235,0.9864,85.5,1.54,0
22-01-2024,WH-DON-01,Twilight,405,402,0.9943,0.9966,89.7,1.62,1
22-01-2024,WH-DON-02,Day,327,317,0.9709,0.9852,80.9,4.21,1
22-01-2024,WH-DON-02,Night,279,277,0.9933,0.9778,85.5,2.58,1
22-01-2024,WH-DON-02,Twilight,341,335,0.9847,0.9952,81,4.04,1
22-01-2024,WH-LEE-01,Day,293,276,0.9453,0.9972,91.9,4.15,0
22-01-2024,WH-LEE-01,Night,304,291,0.9599,0.999,82.8,1.73,1
22-01-2024,WH-LEE-01,Twilight,334,319,0.9558,0.9807,93.9,3.16,1
23-01-2024,WH-DON-01,Day,394,364,0.926,0.9905,94.9,2.04,0
23-01-2024,WH-DON-01,Night,427,416,0.9759,0.9722,93.7,3.74,1
23-01-2024,WH-DON-01,Twilight,431,416,0.9664,0.994,114.1,2.98,1
23-01-2024,WH-DON-02,Day,282,257,0.9131,0.9851,95.7,4.33,0
23-01-2024,WH-DON-02,Night,332,316,0.9547,0.9838,92.8,2.68,1
23-01-2024,WH-DON-02,Twilight,287,277,0.9657,0.9753,90.1,4.69,1
23-01-2024,WH-LEE-01,Day,285,275,0.9652,0.9948,108.1,4.29,1
23-01-2024,WH-LEE-01,Night,349,328,0.9423,0.9799,92.6,3.93,0
23-01-2024,WH-LEE-01,Twilight,315,288,0.9158,0.9887,111.3,4.79,0
24-01-2024,WH-DON-01,Day,414,403,0.9735,0.9832,72.6,3.48,1
24-01-2024,WH-DON-01,Night,442,428,0.969,0.9963,63.8,4.07,1
24-01-2024,WH-DON-01,Twilight,396,370,0.9349,0.9815,74.8,3.11,0
24-01-2024,WH-DON-02,Day,261,241,0.9244,0.9732,108.9,3.43,0
24-01-2024,WH-DON-02,Night,288,267,0.9305,0.9966,68,2.86,0
24-01-2024,WH-DON-02,Twilight,309,281,0.9108,0.9935,110.4,3.64,0
24-01-2024,WH-LEE-01,Day,333,307,0.9234,0.9834,84.2,3.32,0
24-01-2024,WH-LEE-01,Night,289,269,0.9313,0.9947,70.4,2.58,0
24-01-2024,WH-LEE-01,Twilight,285,271,0.9511,0.9776,94.9,3.27,1
25-01-2024,WH-DON-01,Day,445,441,0.9931,0.9894,80.9,3.24,1
25-01-2024,WH-DON-01,Night,418,404,0.9683,0.9919,64,3.38,1
25-01-2024,WH-DON-01,Twilight,355,331,0.9343,0.9934,96.5,2.47,0
25-01-2024,WH-DON-02,Day,311,299,0.9641,0.9884,99.9,3.8,1
25-01-2024,WH-DON-02,Night,279,268,0.9634,0.9963,89.5,2.31,1
25-01-2024,WH-DON-02,Twilight,261,247,0.9475,0.9872,102.4,1.52,0
25-01-2024,WH-LEE-01,Day,296,273,0.9249,0.9747,93.4,4.7,0
25-01-2024,WH-LEE-01,Night,357,340,0.9551,0.9966,97.4,2.13,1
25-01-2024,WH-LEE-01,Twilight,325,318,0.9786,0.9919,83.9,1.61,1
26-01-2024,WH-DON-01,Day,389,385,0.9918,0.9749,113.4,4.3,1
26-01-2024,WH-DON-01,Night,406,402,0.9922,0.9935,77.5,4.05,1
26-01-2024,WH-DON-01,Twilight,337,307,0.9112,0.986,89.4,3.62,0
26-01-2024,WH-DON-02,Day,291,285,0.9799,0.9973,73.1,2.04,1
26-01-2024,WH-DON-02,Night,274,249,0.9121,0.9958,85.9,4.49,0
26-01-2024,WH-DON-02,Twilight,311,304,0.98,0.9965,82.2,2.67,1
26-01-2024,WH-LEE-01,Day,320,295,0.9219,0.9975,82.3,2.97,0
26-01-2024,WH-LEE-01,Night,361,332,0.9215,0.9837,90.6,3.88,0
26-01-2024,WH-LEE-01,Twilight,345,341,0.9904,0.9827,102.9,1.76,1
27-01-2024,WH-DON-01,Day,408,388,0.9516,0.9824,112.7,1.32,1
27-01-2024,WH-DON-01,Night,426,401,0.9415,0.9834,102.5,4.28,0
27-01-2024,WH-DON-02,Day,347,331,0.9563,0.9984,84.9,2.63,1
27-01-2024,WH-DON-02,Night,336,311,0.9261,0.9744,98.2,2.84,0
27-01-2024,WH-LEE-01,Day,287,275,0.9608,0.9716,105,2.08,1
27-01-2024,WH-LEE-01,Night,273,251,0.9207,0.9868,64.8,3.95,0
29-01-2024,WH-DON-01,Day,425,418,0.9839,0.9802,74.9,4.44,1
29-01-2024,WH-DON-01,Night,440,400,0.9102,0.995,68.1,1.67,0
29-01-2024,WH-DON-01,Twilight,419,404,0.9662,0.9717,68.7,4.04,1
29-01-2024,WH-DON-02,Day,328,305,0.9302,0.9801,76.2,1.39,0
29-01-2024,WH-DON-02,Night,308,299,0.9734,0.9843,95.2,3.05,1
29-01-2024,WH-DON-02,Twilight,273,250,0.9193,0.9851,112.4,1.36,0
29-01-2024,WH-LEE-01,Day,322,307,0.9543,0.9838,113.3,1.42,1
29-01-2024,WH-LEE-01,Night,251,238,0.9507,0.9822,91.2,2.96,1
29-01-2024,WH-LEE-01,Twilight,319,292,0.9169,0.988,71.1,2.19,0
30-01-2024,WH-DON-01,Day,413,398,0.9638,0.9864,83.3,4.78,1
30-01-2024,WH-DON-01,Night,387,372,0.9615,0.9738,91.9,4.27,1
30-01-2024,WH-DON-01,Twilight,413,398,0.9653,0.9925,101.9,1.97,1
30-01-2024,WH-DON-02,Day,289,271,0.9388,0.9837,87.6,1.54,0
30-01-2024,WH-DON-02,Night,316,299,0.9463,0.9896,77.9,1.75,0
30-01-2024,WH-DON-02,Twilight,319,312,0.9807,0.9736,72.5,3.86,1
30-01-2024,WH-LEE-01,Day,304,297,0.979,0.9866,95.6,3.22,1
30-01-2024,WH-LEE-01,Night,302,283,0.9401,0.9896,94,4.33,0
30-01-2024,WH-LEE-01,Twilight,323,313,0.9713,0.9981,96.2,2.47,1
31-01-2024,WH-DON-01,Day,401,387,0.9658,0.9773,73.1,4.24,1
31-01-2024,WH-DON-01,Night,410,385,0.9412,0.9924,86.4,4.11,0
31-01-2024,WH-DON-01,Twilight,465,455,0.9796,0.9882,98.2,1.29,1
31-01-2024,WH-DON-02,Day,242,239,0.989,0.9942,80.6,1.85,1
31-01-2024,WH-DON-02,Night,302,283,0.9389,0.9712,99.1,3.24,0
31-01-2024,WH-DON-02,Twilight,285,269,0.9441,0.975,97.8,1.31,0
31-01-2024,WH-LEE-01,Day,309,292,0.9457,0.9805,85.4,3.8,0
31-01-2024,WH-LEE-01,Night,289,282,0.976,0.9869,65.5,1.39,1
31-01-2024,WH-LEE-01,Twilight,332,321,0.9673,0.9786,99.1,2.95,1
01-02-2024,WH-DON-01,Day,454,430,0.9476,0.9786,103.5,1.61,0
01-02-2024,WH-DON-01,Night,397,384,0.9677,0.9846,90.4,1.36,1
01-02-2024,WH-DON-01,Twilight,430,405,0.9436,0.9878,68.4,2.29,0
01-02-2024,WH-DON-02,Day,313,291,0.9317,0.9802,68.4,3.89,0
01-02-2024,WH-DON-02,Night,325,300,0.9249,0.9816,92,3,0
01-02-2024,WH-DON-02,Twilight,337,308,0.9161,0.9951,70,1.27,0
01-02-2024,WH-LEE-01,Day,262,258,0.9883,0.9951,95.1,3.26,1
01-02-2024,WH-LEE-01,Night,302,277,0.9198,0.9716,75.8,4.08,0
01-02-2024,WH-LEE-01,Twilight,279,268,0.9625,0.9943,111.2,1.52,1
02-02-2024,WH-DON-01,Day,432,414,0.9601,0.9857,86.6,2.32,1
02-02-2024,WH-DON-01,Night,401,376,0.9389,0.9803,69.1,3.04,0
02-02-2024,WH-DON-01,Twilight,447,441,0.987,0.9808,102.2,4.15,1
02-02-2024,WH-DON-02,Day,333,326,0.9793,0.9776,74.9,1.91,1
02-02-2024,WH-DON-02,Night,269,259,0.9657,0.976,94.9,2.98,1
02-02-2024,WH-DON-02,Twilight,279,271,0.9741,0.9923,89.1,4.53,1
02-02-2024,WH-LEE-01,Day,270,260,0.9631,0.9952,97.5,1.74,1
02-02-2024,WH-LEE-01,Night,293,268,0.9158,0.9834,74.8,2.19,0
02-02-2024,WH-LEE-01,Twilight,343,321,0.9364,0.9837,70.7,4.19,0
03-02-2024,WH-DON-01,Day,432,395,0.9165,0.9952,108.2,3.41,0
03-02-2024,WH-DON-01,Night,386,369,0.9571,0.9932,100.2,2.82,1
03-02-2024,WH-DON-02,Day,308,301,0.9788,0.9893,83.1,2.91,1
03-02-2024,WH-DON-02,Night,316,290,0.9188,0.9962,76.6,3.77,0
03-02-2024,WH-LEE-01,Day,318,303,0.9529,0.9758,79.6,2.78,1
03-02-2024,WH-LEE-01,Night,276,254,0.9235,0.9814,74,2.67,0
05-02-2024,WH-DON-01,Day,433,406,0.9388,0.9877,105.1,3.53,0
05-02-2024,WH-DON-01,Night,432,418,0.9677,0.979,92.8,3.56,1
05-02-2024,WH-DON-01,Twilight,425,419,0.987,0.9955,83.7,3.3,1
05-02-2024,WH-DON-02,Day,327,324,0.9923,0.9906,86.4,3.34,1
05-02-2024,WH-DON-02,Night,331,327,0.9897,0.9797,78,4.05,1
05-02-2024,WH-DON-02,Twilight,327,320,0.9805,0.9917,100.2,3.1,1
05-02-2024,WH-LEE-01,Day,268,258,0.9649,0.9829,85,2.51,1
05-02-2024,WH-LEE-01,Night,318,314,0.9906,0.9846,71.6,1.7,1
05-02-2024,WH-LEE-01,Twilight,328,300,0.9166,0.9946,72.8,3.98,0
06-02-2024,WH-DON-01,Day,451,411,0.9132,0.9804,104,1.67,0
06-02-2024,WH-DON-01,Night,366,344,0.942,0.9755,97.4,3.98,0
06-02-2024,WH-DON-01,Twilight,426,403,0.9472,0.9825,99.8,2.06,0
06-02-2024,WH-DON-02,Day,293,277,0.9478,0.979,103.2,2.82,0
06-02-2024,WH-DON-02,Night,284,277,0.9787,0.9841,97.6,2.52,1
06-02-2024,WH-DON-02,Twilight,304,301,0.9905,0.9986,89.7,2.21,1
06-02-2024,WH-LEE-01,Day,282,279,0.9921,0.9939,105.7,1.7,1
06-02-2024,WH-LEE-01,Night,334,311,0.9313,0.989,99.3,3.2,0
06-02-2024,WH-LEE-01,Twilight,356,349,0.9823,0.979,103.9,2.18,1
07-02-2024,WH-DON-01,Day,454,448,0.987,0.9751,88.6,4.61,1
07-02-2024,WH-DON-01,Night,425,399,0.9397,0.9717,64.2,3.01,0
07-02-2024,WH-DON-01,Twilight,452,420,0.93,0.9988,85.6,1.3,0
07-02-2024,WH-DON-02,Day,362,349,0.9652,0.9932,74.5,2.23,1
07-02-2024,WH-DON-02,Night,285,279,0.9805,0.9905,67.8,3.74,1
07-02-2024,WH-DON-02,Twilight,307,281,0.9167,0.9782,107.2,3.18,0
07-02-2024,WH-LEE-01,Day,310,301,0.9718,0.9858,73.2,2.24,1
07-02-2024,WH-LEE-01,Night,307,290,0.9457,0.9932,81.4,1.6,0
07-02-2024,WH-LEE-01,Twilight,318,313,0.9869,0.9877,68.8,3.06,1
08-02-2024,WH-DON-01,Day,420,397,0.9465,0.9882,79.3,2.7,0
08-02-2024,WH-DON-01,Night,436,421,0.9665,0.9734,103.6,1.44,1
08-02-2024,WH-DON-01,Twilight,384,381,0.994,0.9865,86.4,2.89,1
08-02-2024,WH-DON-02,Day,304,293,0.964,0.9985,79.9,1.26,1
08-02-2024,WH-DON-02,Night,316,307,0.9723,0.9886,94.9,3.85,1
08-02-2024,WH-DON-02,Twilight,283,265,0.9383,0.9722,93.7,4.13,0
08-02-2024,WH-LEE-01,Day,333,316,0.9495,0.9905,97.7,4.12,0
08-02-2024,WH-LEE-01,Night,356,325,0.9154,0.9927,81.5,2.26,0
08-02-2024,WH-LEE-01,Twilight,329,300,0.9136,0.9971,92.2,4.76,0
09-02-2024,WH-DON-01,Day,425,406,0.9562,0.9781,103.4,1.89,1
09-02-2024,WH-DON-01,Night,387,380,0.9836,0.9803,67.2,2.52,1
09-02-2024,WH-DON-01,Twilight,460,453,0.9856,0.9918,110,2.59,1
09-02-2024,WH-DON-02,Day,344,327,0.9523,0.9969,92.4,4.08,1
09-02-2024,WH-DON-02,Night,304,295,0.9718,0.9732,87.6,4.16,1
09-02-2024,WH-DON-02,Twilight,284,260,0.9168,0.9895,82.4,3.37,0
09-02-2024,WH-LEE-01,Day,302,285,0.9462,0.9903,84.5,1.35,0
09-02-2024,WH-LEE-01,Night,329,327,0.9948,0.9787,103.8,4.61,1
09-02-2024,WH-LEE-01,Twilight,289,264,0.9164,0.9889,85.1,4.08,0
10-02-2024,WH-DON-01,Day,388,357,0.9221,0.988,104.7,1.33,0
10-02-2024,WH-DON-01,Night,353,323,0.9157,0.9928,77.5,2.58,0
10-02-2024,WH-DON-02,Day,272,263,0.9677,0.9976,85.5,3.95,1
10-02-2024,WH-DON-02,Night,293,280,0.9588,0.9858,78.9,3.54,1
10-02-2024,WH-LEE-01,Day,310,301,0.9725,0.985,86.2,3.22,1
10-02-2024,WH-LEE-01,Night,324,302,0.9323,0.9783,81,4.79,0
12-02-2024,WH-DON-01,Day,405,385,0.9518,0.9744,108.1,2.83,1
12-02-2024,WH-DON-01,Night,485,478,0.9864,0.9835,65.6,3.65,1
12-02-2024,WH-DON-01,Twilight,434,407,0.9395,0.9728,93.5,4.41,0
12-02-2024,WH-DON-02,Day,288,282,0.9824,0.9909,111.6,3.5,1
12-02-2024,WH-DON-02,Night,319,293,0.9203,0.9766,67.8,4.05,0
12-02-2024,WH-DON-02,Twilight,275,250,0.9122,0.9865,85.3,4.09,0
12-02-2024,WH-LEE-01,Day,270,247,0.9173,0.9797,115,3.79,0
12-02-2024,WH-LEE-01,Night,296,282,0.9547,0.9925,97.1,1.47,1
12-02-2024,WH-LEE-01,Twilight,352,333,0.9482,0.99,84.2,4.36,0
13-02-2024,WH-DON-01,Day,412,402,0.9763,0.9889,76.6,4.68,1
13-02-2024,WH-DON-01,Night,359,328,0.9147,0.9745,68.4,1.79,0
13-02-2024,WH-DON-01,Twilight,447,419,0.9374,0.9909,84.3,4.59,0
13-02-2024,WH-DON-02,Day,355,330,0.9313,0.9888,93.9,1.65,0
13-02-2024,WH-DON-02,Night,274,256,0.9357,0.9859,83.4,1.81,0
13-02-2024,WH-DON-02,Twilight,326,314,0.966,0.9912,96.4,4.23,1
13-02-2024,WH-LEE-01,Day,303,290,0.9579,0.9941,69.3,1.36,1
13-02-2024,WH-LEE-01,Night,285,275,0.9653,0.9925,79.7,3.5,1
13-02-2024,WH-LEE-01,Twilight,279,265,0.9523,0.9886,81.6,4.64,1
14-02-2024,WH-DON-01,Day,366,354,0.9682,0.9793,71.4,1.42,1
14-02-2024,WH-DON-01,Night,425,402,0.9474,0.9846,70.6,3.38,0
